Date,Time,BTC/USD Bid,BTC/USD Bid Size,BTC/USD Ask,BTC/USD Ask Size,BTC/EUR Bid,BTC/EUR Bid Size,BTC/EUR Ask,BTC/EUR Ask Size,ETH/BTC Bid,ETH/BTC Bid Size,ETH/BTC Ask,ETH/BTC Ask Size,EUR/USD Bid,EUR/USD Bid Size,EUR/USD Ask,EUR/USD Ask Size,ETH/USD Bid,ETH/USD Bid Size,ETH/USD Ask,ETH/USD Ask Size,ETH/EUR Bid,ETH/EUR Bid Size,ETH/EUR Ask,ETH/EUR Ask Size
9/13/2021,12:00 AM,$48,064.80,9.4296,$48,269.41,18.2923,€40,921.65,17.1878,€41,266.44,17.7512,0.067147 BTC,17.2280,0.067401 BTC,234.5160,$1.18220,1,377,569,$1.18236,4,395,853,$3,179.27,96.3563,$3,179.29,175.1400,€2,846.03,38.5727,€2,863.58,225.6860
9/13/2021,12:05 AM,$49,244.55,65.3163,$49,395.68,59.8881,€42,122.29,2.2877,€42,123.43,49.9270,0.066476 BTC,311.4496,0.066780 BTC,213.5984,$1.18156,3,333,249,$1.18186,7,008,291,$3,193.56,129.4380,$3,193.57,150.0367,€2,845.60,285.9763,€2,845.61,157.7983
9/13/2021,12:10 AM,$50,136.71,62.9145,$50,411.26,44.4722,€40,778.80,33.7555,€40,959.51,30.1912,0.066590 BTC,113.9144,0.067591 BTC,103.7596,$1.18195,6,131,933,$1.18261,4,676,665,$3,191.58,261.4487,$3,191.58,19.3100,€2,840.30,164.0353,€2,840.30,78.9063
9/13/2021,12:15 AM,$50,221.45,5.8492,$50,258.46,88.9373,€41,628.63,29.0734,€41,640.47,13.5829,0.065729 BTC,381.6524,0.066075 BTC,295.5652,$1.18609,5,245,946,$1.18712,7,718,703,$3,202.46,203.4307,$3,202.48,152.1600,€2,839.70,181.3607,€2,839.71,205.5867
9/13/2021,12:20 AM,$49,270.55,26.4510,$49,575.83,11.3876,€40,331.48,48.3078,€40,542.07,12.9738,0.065945 BTC,274.0800,0.066048 BTC,387.7700,$1.18884,8,631,856,$1.18951,5,159,192,$3,187.84,252.5257,$3,187.84,79.1600,€2,833.67,192.3617,€2,833.68,205.3773
9/13/2021,12:25 AM,$50,601.99,40.2614,$50,742.61,15.1325,€40,544.88,5.1461,€40,865.88,21.3416,0.063782 BTC,166.4208,0.065560 BTC,59.6840,$1.18810,390,701,$1.18825,3,985,749,$3,192.83,290.6970,$3,192.84,82.5067,€2,841.10,286.8073,€2,841.12,17.3693
9/13/2021,12:30 AM,$50,195.61,26.8128,$50,382.84,64.0812,€40,164.57,11.5050,€40,563.40,32.5316,0.062329 BTC,40.9192,0.063398 BTC,2.2748,$1.18890,9,053,276,$1.18989,7,662,371,$3,201.19,90.4537,$3,201.21,261.6267,€2,840.69,282.5013,€2,840.70,219.8993
9/13/2021,12:35 AM,$50,195.96,44.2663,$50,433.23,19.1644,€40,588.62,15.4023,€40,705.81,34.3357,0.064390 BTC,335.6896,0.064617 BTC,123.2920,$1.19203,6,310,580,$1.19290,3,745,244,$3,197.18,277.8570,$3,197.20,298.4500,€2,833.76,300.7627,€2,833.79,57.8610
9/13/2021,12:40 AM,$48,896.74,9.5982,$48,908.37,21.6526,€40,521.33,3.0583,€40,905.93,15.2660,0.062805 BTC,150.3284,0.064363 BTC,261.2272,$1.19115,5,355,375,$1.19175,1,076,239,$3,194.55,150.4073,$3,194.56,308.0633,€2,836.53,13.7650,€2,836.54,29.6377
9/13/2021,12:45 AM,$50,802.88,62.1040,$51,301.00,45.4716,€40,687.63,2.1337,€40,740.81,41.0246,0.065316 BTC,53.6624,0.065516 BTC,339.2180,$1.18960,8,805,979,$1.19030,9,811,565,$3,201.91,94.2523,$3,201.92,277.1900,€2,847.00,59.1783,€2,847.00,325.7210
9/13/2021,12:50 AM,$51,836.66,34.8910,$52,238.81,36.6808,€40,116.21,33.3503,€40,297.65,48.3178,0.065410 BTC,222.4304,0.066946 BTC,136.9104,$1.18852,9,853,804,$1.18952,4,386,334,$3,208.62,114.5307,$3,208.63,287.5867,€2,849.67,57.9337,€2,849.68,306.6323
9/13/2021,12:55 AM,$50,002.01,4.7055,$50,232.27,34.2702,€40,911.55,19.1917,€40,912.49,25.3249,0.064359 BTC,80.4436,0.064599 BTC,320.3424,$1.19181,2,880,002,$1.19238,7,910,523,$3,207.71,49.8340,$3,207.73,45.4933,€2,862.82,153.5043,€2,862.82,221.5137
9/13/2021,1:00 AM,$48,585.45,71.8756,$48,955.72,4.3027,€39,561.43,36.4316,€40,082.96,43.1623,0.062613 BTC,333.8536,0.062637 BTC,7.9376,$1.19561,4,551,993,$1.19659,9,297,453,$3,201.65,169.9487,$3,201.68,239.8800,€2,866.03,190.7053,€2,866.06,117.8257
9/13/2021,1:05 AM,$46,658.41,82.8865,$47,095.46,82.1964,€40,600.43,13.7371,€40,840.73,2.5593,0.060712 BTC,217.2240,0.061926 BTC,286.2692,$1.20067,2,824,732,$1.20168,8,429,038,$3,214.45,92.9677,$3,214.47,264.2500,€2,854.78,200.4890,€2,854.79,285.8083
9/13/2021,1:10 AM,$45,643.03,66.4284,$46,066.46,23.8376,€40,100.36,32.2282,€40,351.10,47.6820,0.061762 BTC,303.9716,0.061915 BTC,206.5996,$1.20614,3,520,854,$1.20696,3,537,714,$3,221.75,18.8067,$3,221.78,204.1133,€2,844.37,124.7780,€2,844.38,19.2773
9/13/2021,1:15 AM,$47,453.14,55.9760,$47,503.58,41.9218,€40,076.10,2.4875,€40,609.28,31.7729,0.062935 BTC,280.5088,0.063134 BTC,181.8460,$1.20584,9,999,853,$1.20670,3,911,782,$3,217.75,160.4260,$3,217.77,142.0933,€2,843.71,331.6627,€2,843.74,119.9703
9/13/2021,1:20 AM,$48,859.98,40.4057,$49,242.65,2.5843,€40,855.94,29.1033,€41,433.64,41.6222,0.065241 BTC,334.3500,0.067079 BTC,75.3892,$1.20761,9,755,388,$1.20785,3,466,241,$3,222.12,264.4647,$3,222.13,7.0700,€2,857.06,83.7533,€2,857.08,197.5063
9/13/2021,1:25 AM,$50,482.82,1.5397,$50,680.51,75.7782,€41,515.39,41.0343,€41,575.12,33.9450,0.067082 BTC,21.3760,0.068294 BTC,62.2636,$1.21161,1,524,909,$1.21258,8,865,969,$3,208.26,42.1207,$3,208.27,205.9300,€2,864.24,244.3490,€2,864.26,28.4067
9/13/2021,1:30 AM,$50,921.66,25.4531,$51,159.37,12.1784,€41,916.22,30.7866,€42,420.60,3.1329,0.068504 BTC,36.7856,0.070042 BTC,99.1584,$1.21665,964,949,$1.21703,6,688,322,$3,198.83,254.5050,$3,198.83,227.9067,€2,872.48,282.6853,€2,872.50,220.6257
9/13/2021,1:35 AM,$50,578.55,55.5604,$50,710.41,29.0482,€41,234.04,15.2543,€41,592.13,9.6450,0.070421 BTC,176.9048,0.071740 BTC,349.5480,$1.21078,2,257,419,$1.21093,6,248,476,$3,200.59,64.9070,$3,200.61,187.0867,€2,881.02,161.7840,€2,881.03,223.3273
